Pavarde     Vardas      Galutinis(Vid)
Vardas345   5.64                  5.64
Vardas346   7.36                  7.36
Vardas347   7.76                  7.76
Vardas348   7.92                  7.92
Vardas35    6.72                  6.72
Vardas350   8.08                  8.08
Vardas352   8.32                  8.32
Vardas353   7.76                  7.76
Vardas355   7.52                  7.52
Vardas357   5.08                  5.08
Vardas358   5.40                  5.40
Vardas359   6.92                  6.92
Vardas36    5.28                  5.28
Vardas360   6.76                  6.76
Vardas362   7.64                  7.64
Vardas363   6.08                  6.08
Vardas365   7.32                  7.32
Vardas368   5.92                  5.92
Vardas369   7.60                  7.60
Vardas373   8.96                  8.96
Vardas375   7.52                  7.52
Vardas376   5.24                  5.24
Vardas377   7.60                  7.60
Vardas380   7.24                  7.24
Vardas382   6.20                  6.20
Vardas383   6.48                  6.48
Vardas384   8.92                  8.92
Vardas386   8.96                  8.96
Vardas387   7.12                  7.12
Vardas388   6.48                  6.48
Vardas390   8.04                  8.04
Vardas391   6.76                  6.76
Vardas393   5.48                  5.48
Vardas394   5.88                  5.88
Vardas397   7.60                  7.60
Vardas398   7.24                  7.24
Vardas399   8.08                  8.08
Vardas40    7.20                  7.20
Vardas401   8.12                  8.12
Vardas402   5.24                  5.24
Vardas403   8.12                  8.12
Vardas404   6.96                  6.96
Vardas405   7.84                  7.84
Vardas407   8.32                  8.32
Vardas411   6.88                  6.88
Vardas415   6.40                  6.40
Vardas416   7.08                  7.08
Vardas417   8.16                  8.16
Vardas418   7.44                  7.44
Vardas42    6.20                  6.20
Vardas422   7.92                  7.92
Vardas424   5.24                  5.24
Vardas429   5.92                  5.92
Vardas43    8.52                  8.52
Vardas430   7.80                  7.80
Vardas432   6.36                  6.36
Vardas433   5.00                  5.00
Vardas434   7.48                  7.48
Vardas435   7.08                  7.08
Vardas436   7.44                  7.44
Vardas439   5.64                  5.64
Vardas441   6.64                  6.64
Vardas443   7.84                  7.84
Vardas444   7.52                  7.52
Vardas445   6.72                  6.72
Vardas447   8.12                  8.12
Vardas449   7.56                  7.56
Vardas454   6.00                  6.00
Vardas456   6.96                  6.96
Vardas457   7.44                  7.44
Vardas458   5.32                  5.32
Vardas459   8.48                  8.48
Vardas460   7.60                  7.60
Vardas462   6.88                  6.88
Vardas465   8.16                  8.16
Vardas467   6.36                  6.36
Vardas468   7.24                  7.24
Vardas47    6.48                  6.48
Vardas474   7.56                  7.56
Vardas475   7.84                  7.84
Vardas48    6.56                  6.56
Vardas480   7.84                  7.84
Vardas481   5.00                  5.00
Vardas483   5.24                  5.24
Vardas484   7.44                  7.44
Vardas486   6.28                  6.28
Vardas489   8.40                  8.40
Vardas490   6.08                  6.08
Vardas492   5.12                  5.12
Vardas493   7.76                  7.76
Vardas495   8.60                  8.60
Vardas496   8.12                  8.12
Vardas497   6.44                  6.44
Vardas498   7.84                  7.84
Vardas499   7.60                  7.60
Vardas50    7.60                  7.60
Vardas503   5.20                  5.20
Vardas504   6.12                  6.12
Vardas505   6.72                  6.72
Vardas506   7.00                  7.00
Vardas508   6.84                  6.84
Vardas509   5.88                  5.88
Vardas510   6.56                  6.56
Vardas514   6.60                  6.60
Vardas515   7.48                  7.48
Vardas516   5.56                  5.56
Vardas517   7.72                  7.72
Vardas518   6.84                  6.84
Vardas520   6.44                  6.44
Vardas521   8.16                  8.16
Vardas523   6.60                  6.60
Vardas524   5.16                  5.16
Vardas525   6.56                  6.56
Vardas526   7.16                  7.16
Vardas53    8.24                  8.24
Vardas530   6.44                  6.44
Vardas531   6.16                  6.16
Vardas532   8.40                  8.40
Vardas533   6.76                  6.76
Vardas534   7.36                  7.36
Vardas535   6.12                  6.12
Vardas54    6.24                  6.24
Vardas540   8.00                  8.00
Vardas542   7.16                  7.16
Vardas543   7.00                  7.00
Vardas555   8.00                  8.00
Vardas558   6.68                  6.68
Vardas56    5.88                  5.88
Vardas560   8.24                  8.24
Vardas561   7.44                  7.44
Vardas562   6.68                  6.68
Vardas563   6.44                  6.44
Vardas564   5.60                  5.60
Vardas565   7.24                  7.24
Vardas568   7.84                  7.84
Vardas569   8.08                  8.08
Vardas570   5.36                  5.36
Vardas571   7.68                  7.68
Vardas575   6.04                  6.04
Vardas576   8.64                  8.64
Vardas577   8.12                  8.12
Vardas578   6.64                  6.64
Vardas58    7.32                  7.32
Vardas581   6.52                  6.52
Vardas583   6.96                  6.96
Vardas584   5.56                  5.56
Vardas586   5.40                  5.40
Vardas588   5.68                  5.68
Vardas589   5.88                  5.88
Vardas591   8.60                  8.60
Vardas592   6.04                  6.04
Vardas593   7.96                  7.96
Vardas594   5.40                  5.40
Vardas598   5.68                  5.68
Vardas599   6.04                  6.04
Vardas604   5.28                  5.28
Vardas605   6.16                  6.16
Vardas609   8.16                  8.16
Vardas612   5.52                  5.52
Vardas614   5.44                  5.44
Vardas615   8.24                  8.24
Vardas616   6.68                  6.68
Vardas618   6.60                  6.60
Vardas619   5.04                  5.04
Vardas62    6.48                  6.48
Vardas620   7.24                  7.24
Vardas622   5.44                  5.44
Vardas624   6.56                  6.56
Vardas625   8.24                  8.24
Vardas628   7.40                  7.40
Vardas63    6.36                  6.36
Vardas632   5.16                  5.16
Vardas636   5.12                  5.12
Vardas637   5.68                  5.68
Vardas641   5.28                  5.28
Vardas643   7.64                  7.64
Vardas644   6.72                  6.72
Vardas645   5.72                  5.72
Vardas646   5.68                  5.68
Vardas648   5.60                  5.60
Vardas650   5.72                  5.72
Vardas652   7.92                  7.92
Vardas655   6.96                  6.96
Vardas656   5.48                  5.48
Vardas657   6.28                  6.28
Vardas658   5.20                  5.20
Vardas659   5.80                  5.80
Vardas661   7.12                  7.12
Vardas662   5.88                  5.88
Vardas664   6.24                  6.24
Vardas665   6.52                  6.52
Vardas666   8.16                  8.16
Vardas668   7.32                  7.32
Vardas669   6.00                  6.00
Vardas67    5.04                  5.04
Vardas670   5.64                  5.64
Vardas675   7.64                  7.64
Vardas679   8.60                  8.60
Vardas680   6.16                  6.16
Vardas681   8.88                  8.88
Vardas684   7.00                  7.00
Vardas685   7.96                  7.96
Vardas688   7.80                  7.80
Vardas690   5.00                  5.00
Vardas691   6.52                  6.52
Vardas693   7.08                  7.08
Vardas694   7.16                  7.16
Vardas695   6.24                  6.24
Vardas698   6.32                  6.32
Vardas699   7.00                  7.00
Vardas700   6.40                  6.40
Vardas701   8.32                  8.32
Vardas704   7.84                  7.84
Vardas705   6.76                  6.76
Vardas706   6.72                  6.72
Vardas707   8.40                  8.40
Vardas708   7.80                  7.80
Vardas710   6.88                  6.88
Vardas711   7.08                  7.08
Vardas713   5.04                  5.04
Vardas715   5.44                  5.44
Vardas716   5.68                  5.68
Vardas72    8.16                  8.16
Vardas721   6.44                  6.44
Vardas723   5.40                  5.40
Vardas724   8.16                  8.16
Vardas727   5.36                  5.36
Vardas729   6.76                  6.76
Vardas730   6.04                  6.04
Vardas732   8.08                  8.08
Vardas737   5.64                  5.64
Vardas739   8.16                  8.16
Vardas74    5.72                  5.72
Vardas740   8.48                  8.48
Vardas745   6.64                  6.64
Vardas746   7.84                  7.84
Vardas747   5.52                  5.52
Vardas748   7.68                  7.68
Vardas750   5.64                  5.64
Vardas751   6.88                  6.88
Vardas752   5.96                  5.96
Vardas753   5.52                  5.52
Vardas754   7.68                  7.68
Vardas757   6.08                  6.08
Vardas759   5.76                  5.76
Vardas76    5.32                  5.32
Vardas760   5.36                  5.36
Vardas762   7.20                  7.20
Vardas765   7.96                  7.96
Vardas766   5.68                  5.68
Vardas769   6.88                  6.88
Vardas77    5.88                  5.88
Vardas771   9.12                  9.12
Vardas772   7.88                  7.88
Vardas773   7.16                  7.16
Vardas774   6.48                  6.48
Vardas775   7.36                  7.36
Vardas776   6.36                  6.36
Vardas777   8.08                  8.08
Vardas778   5.08                  5.08
Vardas779   5.84                  5.84
Vardas78    6.92                  6.92
Vardas781   8.04                  8.04
Vardas783   7.96                  7.96
Vardas785   6.76                  6.76
Vardas786   5.80                  5.80
Vardas788   8.92                  8.92
Vardas789   5.96                  5.96
Vardas790   5.08                  5.08
Vardas792   5.16                  5.16
Vardas793   8.36                  8.36
Vardas794   7.92                  7.92
Vardas795   5.80                  5.80
Vardas796   5.40                  5.40
Vardas8     6.08                  6.08
Vardas80    7.80                  7.80
Vardas800   6.28                  6.28
Vardas801   5.92                  5.92
Vardas805   6.68                  6.68
Vardas806   5.92                  5.92
Vardas807   6.92                  6.92
Vardas808   8.88                  8.88
Vardas809   5.92                  5.92
Vardas811   5.24                  5.24
Vardas812   7.00                  7.00
Vardas813   6.80                  6.80
Vardas814   6.12                  6.12
Vardas816   6.16                  6.16
Vardas817   8.44                  8.44
Vardas82    5.28                  5.28
Vardas824   5.84                  5.84
Vardas826   6.28                  6.28
Vardas827   6.32                  6.32
Vardas83    7.36                  7.36
Vardas831   7.32                  7.32
Vardas832   5.24                  5.24
Vardas833   8.24                  8.24
Vardas836   5.52                  5.52
Vardas84    9.12                  9.12
Vardas840   5.76                  5.76
Vardas843   7.20                  7.20
Vardas846   5.36                  5.36
Vardas847   5.80                  5.80
Vardas85    8.00                  8.00
Vardas851   7.84                  7.84
Vardas852   5.72                  5.72
Vardas855   8.24                  8.24
Vardas856   6.80                  6.80
Vardas86    5.60                  5.60
Vardas863   5.44                  5.44
Vardas864   7.72                  7.72
Vardas865   7.40                  7.40
Vardas867   8.72                  8.72
Vardas868   8.40                  8.40
Vardas869   5.36                  5.36
Vardas871   5.28                  5.28
Vardas872   5.68                  5.68
Vardas873   5.84                  5.84
Vardas874   5.16                  5.16
Vardas878   5.24                  5.24
Vardas881   7.96                  7.96
Vardas882   7.60                  7.60
Vardas883   6.56                  6.56
Vardas884   8.88                  8.88
Vardas886   6.76                  6.76
Vardas887   6.64                  6.64
Vardas888   8.32                  8.32
Vardas889   5.44                  5.44
Vardas89    6.64                  6.64
Vardas892   7.28                  7.28
Vardas898   7.08                  7.08
Vardas899   6.88                  6.88
Vardas9     7.96                  7.96
Vardas900   5.28                  5.28
Vardas901   8.48                  8.48
Vardas902   5.12                  5.12
Vardas903   5.88                  5.88
Vardas904   6.52                  6.52
Vardas907   5.92                  5.92
Vardas910   5.60                  5.60
Vardas912   7.56                  7.56
Vardas913   8.80                  8.80
Vardas914   8.00                  8.00
Vardas915   8.20                  8.20
Vardas918   8.48                  8.48
Vardas92    8.56                  8.56
Vardas920   6.72                  6.72
Vardas921   5.84                  5.84
Vardas925   5.52                  5.52
Vardas926   7.40                  7.40
Vardas927   7.40                  7.40
Vardas93    6.08                  6.08
Vardas930   7.96                  7.96
Vardas931   6.80                  6.80
Vardas933   6.16                  6.16
Vardas934   6.36                  6.36
Vardas937   6.56                  6.56
Vardas94    5.12                  5.12
Vardas941   5.28                  5.28
Vardas942   6.60                  6.60
Vardas943   5.84                  5.84
Vardas944   7.00                  7.00
Vardas946   5.68                  5.68
Vardas947   5.48                  5.48
Vardas948   6.48                  6.48
Vardas950   5.48                  5.48
Vardas953   6.60                  6.60
Vardas954   6.12                  6.12
Vardas955   6.20                  6.20
Vardas957   6.24                  6.24
Vardas958   8.24                  8.24
Vardas96    8.52                  8.52
Vardas960   5.00                  5.00
Vardas961   6.80                  6.80
Vardas962   5.04                  5.04
Vardas963   5.88                  5.88
Vardas965   6.40                  6.40
Vardas968   6.92                  6.92
Vardas969   8.72                  8.72
Vardas971   6.28                  6.28
Vardas972   5.96                  5.96
Vardas974   8.32                  8.32
Vardas976   8.16                  8.16
Vardas979   7.40                  7.40
Vardas98    7.76                  7.76
Vardas980   6.68                  6.68
Vardas981   7.72                  7.72
Vardas983   7.00                  7.00
Vardas984   7.56                  7.56
Vardas986   8.56                  8.56
Vardas987   5.56                  5.56
Vardas989   8.00                  8.00
Vardas990   7.32                  7.32
Vardas992   7.12                  7.12
Vardas993   9.20                  9.20
Vardas996   5.60                  5.60
Vardas999   5.44                  5.44
