Pavarde        Vardas           Galutinis(Vid)  Galutinis(Med)
Pavarde205     Vardas205                  6.64            6.40
Pavarde206     Vardas206                  7.84            7.60
Pavarde207     Vardas207                  2.76            2.60
Pavarde208     Vardas208                  5.72            5.00
Pavarde209     Vardas209                  6.00            7.20
Pavarde210     Vardas210                  2.76            2.60
Pavarde211     Vardas211                  6.20            5.80
Pavarde212     Vardas212                  2.20            1.80
Pavarde213     Vardas213                  5.84            5.60
Pavarde214     Vardas214                  1.96            1.40
Pavarde215     Vardas215                  5.60            5.60
Pavarde216     Vardas216                  4.56            4.80
Pavarde217     Vardas217                  4.72            4.40
Pavarde218     Vardas218                  6.16            6.40
Pavarde219     Vardas219                  6.56            6.80
Pavarde220     Vardas220                  6.84            6.20
Pavarde221     Vardas221                  3.36            3.60
Pavarde222     Vardas222                  4.08            4.00
Pavarde223     Vardas223                  8.16            8.40
Pavarde224     Vardas224                  5.08            5.40
Pavarde225     Vardas225                  8.24            8.80
Pavarde226     Vardas226                  8.96            9.20
Pavarde227     Vardas227                  3.44            3.60
Pavarde228     Vardas228                  5.92            6.00
Pavarde229     Vardas229                  7.52            7.20
Pavarde230     Vardas230                  3.84            4.40
Pavarde231     Vardas231                  6.28            6.20
Pavarde232     Vardas232                  3.76            4.00
Pavarde233     Vardas233                  7.92            8.40
Pavarde234     Vardas234                  7.40            7.00
Pavarde235     Vardas235                  4.84            4.60
Pavarde236     Vardas236                  3.32            3.80
Pavarde237     Vardas237                  2.28            1.80
Pavarde238     Vardas238                  5.68            5.60
Pavarde239     Vardas239                  7.32            7.00
Pavarde240     Vardas240                  5.16            5.40
Pavarde241     Vardas241                  4.60            5.00
Pavarde242     Vardas242                  4.60            5.00
Pavarde243     Vardas243                  7.04            7.60
Pavarde244     Vardas244                  5.56            6.20
Pavarde245     Vardas245                  5.68            6.40
Pavarde246     Vardas246                  2.96            2.80
Pavarde247     Vardas247                  4.60            5.00
Pavarde248     Vardas248                  5.72            6.60
Pavarde249     Vardas249                  5.36            5.60
Pavarde250     Vardas250                  3.44            4.00
Pavarde251     Vardas251                  6.04            5.40
Pavarde252     Vardas252                  3.08            2.20
Pavarde253     Vardas253                  2.04            1.80
Pavarde254     Vardas254                  3.36            3.20
Pavarde255     Vardas255                  5.84            5.60
Pavarde256     Vardas256                  7.32            7.40
Pavarde257     Vardas257                  8.36            8.20
Pavarde258     Vardas258                  2.68            2.60
Pavarde259     Vardas259                  3.52            3.60
Pavarde260     Vardas260                  2.92            3.00
Pavarde261     Vardas261                  5.36            5.20
Pavarde262     Vardas262                  6.52            6.20
Pavarde263     Vardas263                  2.92            2.60
Pavarde264     Vardas264                  4.96            4.40
Pavarde265     Vardas265                  5.28            4.40
Pavarde266     Vardas266                  3.72            4.20
Pavarde267     Vardas267                  4.44            4.60
Pavarde268     Vardas268                  3.24            3.40
Pavarde269     Vardas269                  3.56            4.20
Pavarde270     Vardas270                  7.20            8.00
Pavarde271     Vardas271                  3.56            3.00
Pavarde272     Vardas272                  8.52            8.60
Pavarde273     Vardas273                  5.64            5.80
Pavarde274     Vardas274                  6.64            6.80
Pavarde275     Vardas275                  6.56            6.00
Pavarde276     Vardas276                  5.08            5.40
Pavarde277     Vardas277                  3.24            3.00
Pavarde278     Vardas278                  5.76            5.60
Pavarde279     Vardas279                  9.04            9.20
Pavarde280     Vardas280                  2.92            3.00
Pavarde281     Vardas281                  4.28            3.80
Pavarde282     Vardas282                  6.00            6.00
Pavarde283     Vardas283                  5.24            5.40
Pavarde284     Vardas284                  5.20            5.20
Pavarde285     Vardas285                  5.24            5.40
Pavarde286     Vardas286                  2.36            2.60
Pavarde287     Vardas287                  8.04            7.80
Pavarde288     Vardas288                  4.84            4.60
Pavarde289     Vardas289                  4.00            4.00
Pavarde290     Vardas290                  3.84            3.60
Pavarde291     Vardas291                  3.96            4.20
Pavarde292     Vardas292                  7.36            6.80
Pavarde293     Vardas293                  5.76            5.60
Pavarde294     Vardas294                  4.16            4.80
Pavarde295     Vardas295                  7.80            7.40
Pavarde296     Vardas296                  8.12            8.20
Pavarde297     Vardas297                  3.84            3.60
Pavarde298     Vardas298                  3.60            3.60
Pavarde299     Vardas299                  4.32            4.00
Pavarde300     Vardas300                  7.32            7.40
Pavarde301     Vardas301                  3.92            3.60
Pavarde302     Vardas302                  4.24            4.40
Pavarde303     Vardas303                  5.56            5.40
Pavarde304     Vardas304                  7.28            7.60
Pavarde305     Vardas305                  7.20            7.60
Pavarde306     Vardas306                  8.60            8.60
Pavarde307     Vardas307                  7.72            7.80
Pavarde308     Vardas308                  7.24            6.20
Pavarde309     Vardas309                  7.84            7.60
Pavarde310     Vardas310                  4.28            4.20
Pavarde311     Vardas311                  7.52            7.20
Pavarde312     Vardas312                  6.28            5.80
Pavarde313     Vardas313                  6.52            7.00
Pavarde314     Vardas314                  9.12            9.20
Pavarde315     Vardas315                  3.40            3.40
Pavarde316     Vardas316                  6.48            6.40
Pavarde317     Vardas317                  2.44            2.60
Pavarde318     Vardas318                  2.20            1.40
Pavarde319     Vardas319                  5.08            5.40
Pavarde320     Vardas320                  4.00            4.00
Pavarde321     Vardas321                  7.88            8.20
Pavarde322     Vardas322                  7.12            6.40
Pavarde323     Vardas323                  5.32            5.40
Pavarde324     Vardas324                  3.52            3.60
Pavarde325     Vardas325                  7.96            8.60
Pavarde326     Vardas326                  6.36            6.20
Pavarde327     Vardas327                  8.16            8.40
Pavarde328     Vardas328                  8.00            8.40
Pavarde329     Vardas329                  2.12            1.80
Pavarde330     Vardas330                  2.20            1.40
Pavarde331     Vardas331                  7.04            6.80
Pavarde332     Vardas332                  2.20            2.60
Pavarde333     Vardas333                  6.08            6.00
Pavarde334     Vardas334                  7.92            7.60
Pavarde335     Vardas335                  5.52            5.60
Pavarde336     Vardas336                  4.52            4.60
Pavarde337     Vardas337                  3.84            4.40
Pavarde338     Vardas338                  4.08            4.00
Pavarde339     Vardas339                  8.32            8.00
Pavarde340     Vardas340                  4.60            4.60
Pavarde341     Vardas341                  2.92            2.60
Pavarde342     Vardas342                  4.56            4.80
Pavarde343     Vardas343                  2.60            3.40
Pavarde344     Vardas344                  7.52            8.00
Pavarde345     Vardas345                  5.64            5.00
Pavarde346     Vardas346                  7.36            7.60
Pavarde347     Vardas347                  7.76            6.80
Pavarde348     Vardas348                  7.92            8.00
Pavarde349     Vardas349                  2.80            2.40
Pavarde350     Vardas350                  8.08            8.00
Pavarde351     Vardas351                  3.16            3.00
Pavarde352     Vardas352                  8.32            7.60
Pavarde353     Vardas353                  7.76            7.60
Pavarde354     Vardas354                  4.60            5.00
Pavarde355     Vardas355                  7.52            7.60
Pavarde356     Vardas356                  4.16            4.00
Pavarde357     Vardas357                  5.08            5.00
Pavarde358     Vardas358                  5.40            5.80
Pavarde359     Vardas359                  6.92            7.00
Pavarde360     Vardas360                  6.76            6.60
Pavarde361     Vardas361                  3.52            3.60
Pavarde362     Vardas362                  7.64            7.80
Pavarde363     Vardas363                  6.08            5.60
Pavarde364     Vardas364                  3.32            3.40
Pavarde365     Vardas365                  7.32            7.00
Pavarde366     Vardas366                  4.52            4.60
Pavarde367     Vardas367                  4.32            4.00
Pavarde368     Vardas368                  5.92            6.40
Pavarde369     Vardas369                  7.60            7.60
Pavarde370     Vardas370                  2.92            2.60
Pavarde371     Vardas371                  4.64            4.80
Pavarde372     Vardas372                  4.96            4.80
Pavarde373     Vardas373                  8.96            9.20
Pavarde374     Vardas374                  3.76            3.60
Pavarde375     Vardas375                  7.52            7.60
Pavarde376     Vardas376                  5.24            5.40
Pavarde377     Vardas377                  7.60            8.00
Pavarde378     Vardas378                  4.08            4.00
Pavarde379     Vardas379                  3.28            3.20
Pavarde380     Vardas380                  7.24            6.20
Pavarde381     Vardas381                  2.72            2.80
Pavarde382     Vardas382                  6.20            6.60
Pavarde383     Vardas383                  6.48            6.80
Pavarde384     Vardas384                  8.92            8.60
Pavarde385     Vardas385                  3.96            4.20
Pavarde386     Vardas386                  8.96           10.00
Pavarde387     Vardas387                  7.12            7.20
Pavarde388     Vardas388                  6.48            6.80
Pavarde389     Vardas389                  4.48            4.40
Pavarde390     Vardas390                  8.04            8.20
Pavarde391     Vardas391                  6.76            7.00
Pavarde392     Vardas392                  4.16            4.00
Pavarde393     Vardas393                  5.48            6.20
Pavarde394     Vardas394                  5.88            5.80
Pavarde395     Vardas395                  3.80            3.40
Pavarde396     Vardas396                  4.36            4.20
Pavarde397     Vardas397                  7.60            7.60
Pavarde398     Vardas398                  7.24            7.00
Pavarde399     Vardas399                  8.08            8.00
Pavarde400     Vardas400                  2.20            1.40
Pavarde401     Vardas401                  8.12            8.20
Pavarde402     Vardas402                  5.24            5.40
Pavarde403     Vardas403                  8.12            8.20
Pavarde404     Vardas404                  6.96            6.80
Pavarde405     Vardas405                  7.84            8.40
Pavarde406     Vardas406                  4.84            4.60
Pavarde407     Vardas407                  8.32            8.00
Pavarde408     Vardas408                  3.44            3.60
Pavarde409     Vardas409                  3.04            2.80
Pavarde410     Vardas410                  3.16            3.00
Pavarde411     Vardas411                  6.88            6.80
Pavarde412     Vardas412                  2.12            2.20
Pavarde413     Vardas413                  4.44            4.60
Pavarde414     Vardas414                  3.24            3.80
Pavarde415     Vardas415                  6.40            6.00
Pavarde416     Vardas416                  7.08            7.40
Pavarde417     Vardas417                  8.16            8.00
Pavarde418     Vardas418                  7.44            7.60
Pavarde419     Vardas419                  3.36            4.00
Pavarde420     Vardas420                  4.00            4.00
Pavarde421     Vardas421                  2.68            3.40
Pavarde422     Vardas422                  7.92            7.20
Pavarde423     Vardas423                  4.68            5.40
Pavarde424     Vardas424                  5.24            5.00
Pavarde425     Vardas425                  3.44            3.20
Pavarde426     Vardas426                  4.68            4.60
Pavarde427     Vardas427                  2.92            3.40
Pavarde428     Vardas428                  4.12            3.80
Pavarde429     Vardas429                  5.92            6.00
Pavarde430     Vardas430                  7.80            7.80
Pavarde431     Vardas431                  3.60            4.00
Pavarde432     Vardas432                  6.36            6.20
Pavarde433     Vardas433                  5.00            5.40
Pavarde434     Vardas434                  7.48            7.40
Pavarde435     Vardas435                  7.08            7.00
Pavarde436     Vardas436                  7.44            7.20
Pavarde437     Vardas437                  4.52            4.20
Pavarde438     Vardas438                  3.80            3.40
Pavarde439     Vardas439                  5.64            5.00
Pavarde440     Vardas440                  4.88            5.20
Pavarde441     Vardas441                  6.64            6.40
Pavarde442     Vardas442                  2.68            2.60
Pavarde443     Vardas443                  7.84            7.60
Pavarde444     Vardas444                  7.52            6.40
Pavarde445     Vardas445                  6.72            6.40
Pavarde446     Vardas446                  3.76            3.60
Pavarde447     Vardas447                  8.12            9.00
Pavarde448     Vardas448                  4.20            4.60
Pavarde449     Vardas449                  7.56            7.00
Pavarde450     Vardas450                  4.68            4.60
Pavarde451     Vardas451                  3.40            4.20
Pavarde452     Vardas452                  3.48            3.40
Pavarde453     Vardas453                  3.88            3.80
Pavarde454     Vardas454                  6.00            6.00
Pavarde455     Vardas455                  4.12            4.60
Pavarde456     Vardas456                  6.96            7.20
Pavarde457     Vardas457                  7.44            8.00
Pavarde458     Vardas458                  5.32            4.60
Pavarde459     Vardas459                  8.48            8.40
Pavarde460     Vardas460                  7.60            7.60
Pavarde461     Vardas461                  4.60            5.00
Pavarde462     Vardas462                  6.88            6.80
Pavarde463     Vardas463                  3.12            2.40
Pavarde464     Vardas464                  3.24            3.00
Pavarde465     Vardas465                  8.16            8.40
Pavarde466     Vardas466                  3.04            3.20
Pavarde467     Vardas467                  6.36            6.20
Pavarde468     Vardas468                  7.24            7.00
Pavarde469     Vardas469                  3.52            3.60
Pavarde470     Vardas470                  3.72            4.20
Pavarde471     Vardas471                  2.52            2.60
Pavarde472     Vardas472                  2.68            2.20
Pavarde473     Vardas473                  4.64            5.20
Pavarde474     Vardas474                  7.56            7.40
Pavarde475     Vardas475                  7.84            7.60
Pavarde476     Vardas476                  2.76            2.60
Pavarde477     Vardas477                  4.48            4.00
Pavarde478     Vardas478                  4.72            4.40
Pavarde479     Vardas479                  4.32            4.40
Pavarde480     Vardas480                  7.84            8.00
Pavarde481     Vardas481                  5.00            4.60
Pavarde482     Vardas482                  2.28            1.40
Pavarde483     Vardas483                  5.24            5.00
Pavarde484     Vardas484                  7.44            7.20
Pavarde485     Vardas485                  2.96            3.60
Pavarde486     Vardas486                  6.28            6.60
Pavarde487     Vardas487                  4.64            4.40
Pavarde488     Vardas488                  3.56            3.80
Pavarde489     Vardas489                  8.40            8.40
Pavarde490     Vardas490                  6.08            6.00
Pavarde491     Vardas491                  4.12            4.60
Pavarde492     Vardas492                  5.12            5.20
Pavarde493     Vardas493                  7.76            8.00
Pavarde494     Vardas494                  3.92            3.60
Pavarde495     Vardas495                  8.60            8.60
Pavarde496     Vardas496                  8.12            8.20
Pavarde497     Vardas497                  6.44            6.20
Pavarde498     Vardas498                  7.84            8.00
Pavarde499     Vardas499                  7.60            7.60
Pavarde500     Vardas500                  3.72            4.20
Pavarde501     Vardas501                  4.48            4.00
Pavarde502     Vardas502                  3.12            2.00
Pavarde503     Vardas503                  5.20            6.00
Pavarde504     Vardas504                  6.12            6.20
Pavarde505     Vardas505                  6.72            6.00
Pavarde506     Vardas506                  7.00            7.00
Pavarde507     Vardas507                  4.00            4.00
Pavarde508     Vardas508                  6.84            7.00
Pavarde509     Vardas509                  5.88            5.00
Pavarde510     Vardas510                  6.56            6.80
Pavarde511     Vardas511                  4.56            4.80
Pavarde512     Vardas512                  2.88            2.80
Pavarde513     Vardas513                  3.04            2.40
Pavarde514     Vardas514                  6.60            6.20
Pavarde515     Vardas515                  7.48            7.40
Pavarde516     Vardas516                  5.56            5.80
Pavarde517     Vardas517                  7.72            7.80
Pavarde518     Vardas518                  6.84            7.40
Pavarde519     Vardas519                  4.00            3.20
Pavarde520     Vardas520                  6.44            6.60
Pavarde521     Vardas521                  8.16            7.60
Pavarde522     Vardas522                  2.28            2.60
Pavarde523     Vardas523                  6.60            6.60
Pavarde524     Vardas524                  5.16            4.20
Pavarde525     Vardas525                  6.56            7.20
Pavarde526     Vardas526                  7.16            7.00
Pavarde527     Vardas527                  3.44            3.60
Pavarde528     Vardas528                  2.44            2.20
Pavarde529     Vardas529                  3.00            3.00
Pavarde530     Vardas530                  6.44            6.20
Pavarde531     Vardas531                  6.16            6.40
Pavarde532     Vardas532                  8.40            8.00
Pavarde533     Vardas533                  6.76            6.20
Pavarde534     Vardas534                  7.36            8.00
Pavarde535     Vardas535                  6.12            6.20
Pavarde536     Vardas536                  4.76            4.20
Pavarde537     Vardas537                  3.12            3.60
Pavarde538     Vardas538                  3.00            3.40
Pavarde539     Vardas539                  3.76            3.60
Pavarde540     Vardas540                  8.00            8.00
Pavarde541     Vardas541                  3.04            3.60
Pavarde542     Vardas542                  7.16            7.00
Pavarde543     Vardas543                  7.00            7.40
Pavarde544     Vardas544                  4.24            3.60
Pavarde545     Vardas545                  3.88            3.80
Pavarde546     Vardas546                  4.36            3.80
Pavarde547     Vardas547                  3.60            4.00
Pavarde548     Vardas548                  3.68            3.60
Pavarde549     Vardas549                  4.24            4.40
Pavarde550     Vardas550                  3.48            3.80
Pavarde551     Vardas551                  4.28            4.60
Pavarde552     Vardas552                  4.24            4.40
Pavarde553     Vardas553                  3.28            3.60
Pavarde554     Vardas554                  3.36            3.20
Pavarde555     Vardas555                  8.00            7.20
Pavarde556     Vardas556                  3.12            3.60
Pavarde557     Vardas557                  1.96            1.80
Pavarde558     Vardas558                  6.68            6.60
Pavarde559     Vardas559                  4.16            4.40
Pavarde560     Vardas560                  8.24            7.60
Pavarde561     Vardas561                  7.44            7.20
Pavarde562     Vardas562                  6.68            6.60
Pavarde563     Vardas563                  6.44            6.20
Pavarde564     Vardas564                  5.60            6.00
Pavarde565     Vardas565                  7.24            7.00
Pavarde566     Vardas566                  2.12            1.80
Pavarde567     Vardas567                  2.92            2.60
Pavarde568     Vardas568                  7.84            7.60
Pavarde569     Vardas569                  8.08            8.00
Pavarde570     Vardas570                  5.36            5.60
Pavarde571     Vardas571                  7.68            8.40
Pavarde572     Vardas572                  4.40            4.80
Pavarde573     Vardas573                  4.52            4.60
Pavarde574     Vardas574                  4.12            3.80
Pavarde575     Vardas575                  6.04            6.60
Pavarde576     Vardas576                  8.64            8.40
Pavarde577     Vardas577                  8.12            7.80
Pavarde578     Vardas578                  6.64            6.40
Pavarde579     Vardas579                  3.92            4.00
Pavarde580     Vardas580                  3.20            2.40
Pavarde581     Vardas581                  6.52            6.60
Pavarde582     Vardas582                  4.88            4.40
Pavarde583     Vardas583                  6.96            6.80
Pavarde584     Vardas584                  5.56            6.20
Pavarde585     Vardas585                  4.84            5.00
Pavarde586     Vardas586                  5.40            5.40
Pavarde587     Vardas587                  2.80            2.80
Pavarde588     Vardas588                  5.68            6.00
Pavarde589     Vardas589                  5.88            6.60
Pavarde590     Vardas590                  4.44            5.00
Pavarde591     Vardas591                  8.60            9.00
Pavarde592     Vardas592                  6.04            5.80
Pavarde593     Vardas593                  7.96            8.20
Pavarde594     Vardas594                  5.40            5.00
Pavarde595     Vardas595                  3.84            3.60
Pavarde596     Vardas596                  2.88            2.00
Pavarde597     Vardas597                  2.12            1.80
Pavarde598     Vardas598                  5.68            5.20
Pavarde599     Vardas599                  6.04            6.60
Pavarde600     Vardas600                  3.44            4.00
Pavarde601     Vardas601                  4.56            4.80
Pavarde602     Vardas602                  4.28            3.40
Pavarde603     Vardas603                  4.92            3.80
Pavarde604     Vardas604                  5.28            4.80
Pavarde605     Vardas605                  6.16            5.60
Pavarde606     Vardas606                  2.72            2.40
Pavarde607     Vardas607                  4.28            4.60
Pavarde608     Vardas608                  4.40            4.00
Pavarde609     Vardas609                  8.16            8.40
Pavarde610     Vardas610                  2.04            1.80
Pavarde611     Vardas611                  4.04            4.20
Pavarde612     Vardas612                  5.52            5.20
Pavarde613     Vardas613                  3.84            4.40
Pavarde614     Vardas614                  5.44            5.60
Pavarde615     Vardas615                  8.24            8.00
Pavarde616     Vardas616                  6.68            6.60
Pavarde617     Vardas617                  2.96            3.20
Pavarde618     Vardas618                  6.60            7.40
Pavarde619     Vardas619                  5.04            4.80
Pavarde620     Vardas620                  7.24            7.40
Pavarde621     Vardas621                  3.44            3.60
Pavarde622     Vardas622                  5.44            5.60
Pavarde623     Vardas623                  3.32            3.40
Pavarde624     Vardas624                  6.56            6.00
Pavarde625     Vardas625                  8.24            8.80
Pavarde626     Vardas626                  4.48            4.00
Pavarde627     Vardas627                  3.44            3.20
Pavarde628     Vardas628                  7.40            7.00
Pavarde629     Vardas629                  4.88            4.40
Pavarde630     Vardas630                  2.12            1.80
Pavarde631     Vardas631                  1.80            1.80
Pavarde632     Vardas632                  5.16            4.60
Pavarde633     Vardas633                  4.12            3.80
