Pavarde        Vardas           Galutinis(Vid)  Galutinis(Med)
Pavarde135     Vardas135                  6.40            6.60
Pavarde136     Vardas136                  6.00            6.00
Pavarde137     Vardas137                  5.30            5.20
Pavarde138     Vardas138                  6.90            7.00
Pavarde139     Vardas139                  4.70            4.80
Pavarde140     Vardas140                  7.10            7.20
Pavarde141     Vardas141                  2.70            2.40
Pavarde142     Vardas142                  4.50            5.00
Pavarde143     Vardas143                  6.50            6.60
Pavarde144     Vardas144                  6.20            6.20
Pavarde145     Vardas145                  8.50            8.80
Pavarde146     Vardas146                  2.80            2.60
Pavarde147     Vardas147                  4.50            4.40
Pavarde148     Vardas148                  5.00            5.00
Pavarde149     Vardas149                  5.60            5.80
Pavarde150     Vardas150                  4.20            5.00
Pavarde151     Vardas151                  7.70            7.60
Pavarde152     Vardas152                  5.60            5.40
Pavarde153     Vardas153                  5.20            5.20
Pavarde154     Vardas154                  8.70            8.60
Pavarde155     Vardas155                  3.90            4.00
Pavarde156     Vardas156                  5.40            5.60
Pavarde157     Vardas157                  3.70            4.00
Pavarde158     Vardas158                  6.30            6.20
Pavarde159     Vardas159                  5.40            5.20
Pavarde160     Vardas160                  8.60            8.60
Pavarde161     Vardas161                  6.40            6.20
Pavarde162     Vardas162                  3.10            2.80
Pavarde163     Vardas163                  5.90            6.40
Pavarde164     Vardas164                  5.10            5.40
Pavarde165     Vardas165                  2.90            2.80
Pavarde166     Vardas166                  3.80            4.00
Pavarde167     Vardas167                  5.30            5.00
Pavarde168     Vardas168                  2.70            2.60
Pavarde169     Vardas169                  3.60            4.00
Pavarde170     Vardas170                  3.10            3.00
Pavarde171     Vardas171                  3.20            3.00
Pavarde172     Vardas172                  4.90            4.60
Pavarde173     Vardas173                  7.60            7.60
Pavarde174     Vardas174                  2.90            2.80
Pavarde175     Vardas175                  6.50            6.40
Pavarde176     Vardas176                  5.70            5.80
Pavarde177     Vardas177                  8.30            8.20
Pavarde178     Vardas178                  6.80            6.60
Pavarde179     Vardas179                  3.10            2.80
Pavarde180     Vardas180                  2.10            1.40
Pavarde181     Vardas181                  4.20            4.00
Pavarde182     Vardas182                  3.50            3.40
Pavarde183     Vardas183                  7.20            7.20
Pavarde184     Vardas184                  3.30            3.40
Pavarde185     Vardas185                  7.00            7.40
Pavarde186     Vardas186                  4.30            4.20
Pavarde187     Vardas187                  6.90            6.80
Pavarde188     Vardas188                  7.70            7.80
Pavarde189     Vardas189                  2.40            2.40
Pavarde190     Vardas190                  5.70            5.40
Pavarde191     Vardas191                  2.80            2.80
Pavarde192     Vardas192                  6.90            6.40
Pavarde193     Vardas193                  5.90            5.60
Pavarde194     Vardas194                  2.10            1.60
Pavarde195     Vardas195                  8.60            9.00
Pavarde196     Vardas196                  7.40            7.00
Pavarde197     Vardas197                  6.10            6.00
Pavarde198     Vardas198                  1.80            1.60
Pavarde199     Vardas199                  3.60            4.00
Pavarde200     Vardas200                  5.00            5.20
Pavarde201     Vardas201                  8.30            8.60
Pavarde202     Vardas202                  6.50            6.40
Pavarde203     Vardas203                  7.30            7.20
Pavarde204     Vardas204                  5.60            5.20
Pavarde205     Vardas205                  5.10            5.00
Pavarde206     Vardas206                  7.70            7.60
Pavarde207     Vardas207                  8.50            8.80
Pavarde208     Vardas208                  8.90            9.00
Pavarde209     Vardas209                  5.40            5.20
Pavarde210     Vardas210                  3.50            4.00
Pavarde211     Vardas211                  6.40            6.20
Pavarde212     Vardas212                  7.10            6.80
Pavarde213     Vardas213                  6.90            6.80
Pavarde214     Vardas214                  5.70            5.60
Pavarde215     Vardas215                  4.10            4.60
Pavarde216     Vardas216                  3.20            3.00
Pavarde217     Vardas217                  4.20            4.00
Pavarde218     Vardas218                  8.60            8.60
Pavarde219     Vardas219                  5.80            5.60
Pavarde220     Vardas220                  5.60            5.60
Pavarde221     Vardas221                  7.40            7.40
Pavarde222     Vardas222                  4.60            5.20
Pavarde223     Vardas223                  5.90            5.60
Pavarde224     Vardas224                  5.30            5.00
Pavarde225     Vardas225                  3.60            3.20
Pavarde226     Vardas226                  7.10            7.40
Pavarde227     Vardas227                  4.30            3.80
Pavarde228     Vardas228                  4.30            4.20
Pavarde229     Vardas229                  2.90            2.40
Pavarde230     Vardas230                  6.60            6.60
Pavarde231     Vardas231                  8.30            8.60
Pavarde232     Vardas232                  4.90            5.00
Pavarde233     Vardas233                  9.20            9.60
Pavarde234     Vardas234                  3.40            3.20
Pavarde235     Vardas235                  7.70            7.80
Pavarde236     Vardas236                  2.00            1.60
Pavarde237     Vardas237                  4.50            4.40
Pavarde238     Vardas238                  6.50            6.20
Pavarde239     Vardas239                  8.70            8.80
Pavarde240     Vardas240                  7.40            7.40
Pavarde241     Vardas241                  4.30            4.40
Pavarde242     Vardas242                  3.50            3.20
Pavarde243     Vardas243                  3.20            3.40
Pavarde244     Vardas244                  7.00            6.40
Pavarde245     Vardas245                  2.40            2.60
Pavarde246     Vardas246                  4.80            5.00
Pavarde247     Vardas247                  7.60            7.80
Pavarde248     Vardas248                  4.70            4.60
Pavarde249     Vardas249                  5.80            5.40
Pavarde250     Vardas250                  6.20            6.60
Pavarde251     Vardas251                  7.70            7.60
Pavarde252     Vardas252                  6.00            6.00
Pavarde253     Vardas253                  6.20            6.40
Pavarde254     Vardas254                  2.40            2.40
Pavarde255     Vardas255                  4.60            4.40
Pavarde256     Vardas256                  8.70            8.60
Pavarde257     Vardas257                  4.40            4.40
Pavarde258     Vardas258                  8.00            8.20
Pavarde259     Vardas259                  4.00            4.40
Pavarde260     Vardas260                  3.40            3.40
Pavarde261     Vardas261                  5.80            6.20
Pavarde262     Vardas262                  3.30            3.20
Pavarde263     Vardas263                  9.30            9.20
Pavarde264     Vardas264                  3.90            3.80
Pavarde265     Vardas265                  4.00            3.60
Pavarde266     Vardas266                  6.10            5.80
Pavarde267     Vardas267                  7.50            7.40
Pavarde268     Vardas268                  7.80            7.60
Pavarde269     Vardas269                  7.90            8.20
Pavarde270     Vardas270                  6.60            6.60
Pavarde271     Vardas271                  3.60            3.20
Pavarde272     Vardas272                  3.80            4.00
Pavarde273     Vardas273                  8.20            8.60
Pavarde274     Vardas274                  7.40            7.20
Pavarde275     Vardas275                  2.90            2.60
Pavarde276     Vardas276                  4.60            4.60
Pavarde277     Vardas277                  4.20            3.60
Pavarde278     Vardas278                  3.40            3.00
Pavarde279     Vardas279                  7.20            7.20
Pavarde280     Vardas280                  5.20            5.60
Pavarde281     Vardas281                  8.30            8.60
Pavarde282     Vardas282                  7.00            7.00
Pavarde283     Vardas283                  6.50            6.40
Pavarde284     Vardas284                  3.50            3.40
Pavarde285     Vardas285                  5.10            5.20
Pavarde286     Vardas286                  7.60            7.20
Pavarde287     Vardas287                  6.50            6.60
Pavarde288     Vardas288                  5.40            5.40
Pavarde289     Vardas289                  6.80            6.80
Pavarde290     Vardas290                  3.00            2.80
Pavarde291     Vardas291                  2.60            2.60
Pavarde292     Vardas292                  2.10            1.60
Pavarde293     Vardas293                  7.10            6.80
Pavarde294     Vardas294                  8.90            9.60
Pavarde295     Vardas295                  3.60            3.60
Pavarde296     Vardas296                  6.90            7.00
Pavarde297     Vardas297                  3.10            2.40
Pavarde298     Vardas298                  7.60            8.00
Pavarde299     Vardas299                  3.00            2.40
Pavarde300     Vardas300                  8.90            9.20
Pavarde301     Vardas301                  5.90            5.60
Pavarde302     Vardas302                  5.10            5.20
Pavarde303     Vardas303                  5.50            5.40
Pavarde304     Vardas304                  8.00            8.20
Pavarde305     Vardas305                  6.80            6.80
Pavarde306     Vardas306                  3.70            3.60
Pavarde307     Vardas307                  8.60            8.60
Pavarde308     Vardas308                  6.60            6.40
Pavarde309     Vardas309                  7.10            6.60
Pavarde310     Vardas310                  2.90            3.00
Pavarde311     Vardas311                  3.90            3.60
Pavarde312     Vardas312                  4.30            4.00
Pavarde313     Vardas313                  5.90            6.00
Pavarde314     Vardas314                  8.60            8.60
Pavarde315     Vardas315                  7.30            7.40
Pavarde316     Vardas316                  5.20            5.00
Pavarde317     Vardas317                  6.70            6.40
Pavarde318     Vardas318                  2.30            1.60
Pavarde319     Vardas319                  8.90            9.00
Pavarde320     Vardas320                  5.10            4.80
Pavarde321     Vardas321                  4.20            4.80
Pavarde322     Vardas322                  6.20            6.20
Pavarde323     Vardas323                  2.90            3.20
Pavarde324     Vardas324                  5.00            5.00
Pavarde325     Vardas325                  6.90            6.80
Pavarde326     Vardas326                  7.10            7.00
Pavarde327     Vardas327                  7.10            7.00
Pavarde328     Vardas328                  8.40            8.20
Pavarde329     Vardas329                  4.60            4.40
Pavarde330     Vardas330                  4.40            4.40
Pavarde331     Vardas331                  8.30            8.80
Pavarde332     Vardas332                  5.80            6.20
Pavarde333     Vardas333                  6.80            6.80
Pavarde334     Vardas334                  7.20            6.80
Pavarde335     Vardas335                  7.30            7.80
Pavarde336     Vardas336                  5.10            5.00
Pavarde337     Vardas337                  5.90            6.00
Pavarde338     Vardas338                  3.00            2.60
Pavarde339     Vardas339                  2.90            3.20
Pavarde340     Vardas340                  2.80            2.60
Pavarde341     Vardas341                  5.00            5.40
Pavarde342     Vardas342                  7.00            7.20
Pavarde343     Vardas343                  5.10            5.00
Pavarde344     Vardas344                  4.50            4.60
Pavarde345     Vardas345                  5.40            5.40
Pavarde346     Vardas346                  6.40            6.40
Pavarde347     Vardas347                  3.90            4.00
Pavarde348     Vardas348                  2.80            2.80
Pavarde349     Vardas349                  6.10            6.40
Pavarde350     Vardas350                  5.80            6.00
Pavarde351     Vardas351                  7.00            7.20
Pavarde352     Vardas352                  7.10            7.20
Pavarde353     Vardas353                  5.10            5.60
Pavarde354     Vardas354                  8.30            8.20
Pavarde355     Vardas355                  4.80            5.00
Pavarde356     Vardas356                  3.50            3.40
Pavarde357     Vardas357                  5.80            5.80
Pavarde358     Vardas358                  2.20            2.00
Pavarde359     Vardas359                  4.90            5.20
Pavarde360     Vardas360                  6.00            6.20
Pavarde361     Vardas361                  3.10            3.20
Pavarde362     Vardas362                  6.40            6.20
Pavarde363     Vardas363                  5.20            4.80
Pavarde364     Vardas364                  8.00            8.00
Pavarde365     Vardas365                  3.50            3.20
Pavarde366     Vardas366                  8.70            8.80
Pavarde367     Vardas367                  5.60            5.60
Pavarde368     Vardas368                  4.10            4.00
Pavarde369     Vardas369                  7.00            7.00
Pavarde370     Vardas370                  6.00            6.20
Pavarde371     Vardas371                  3.60            3.60
Pavarde372     Vardas372                  6.10            6.40
Pavarde373     Vardas373                  6.60            7.40
Pavarde374     Vardas374                  7.80            8.00
Pavarde375     Vardas375                  4.90            4.80
Pavarde376     Vardas376                  7.80            8.00
Pavarde377     Vardas377                  7.60            8.00
Pavarde378     Vardas378                  7.80            7.80
Pavarde379     Vardas379                  3.30            3.00
Pavarde380     Vardas380                  8.30            8.20
Pavarde381     Vardas381                  8.00            8.20
Pavarde382     Vardas382                  2.90            2.60
Pavarde383     Vardas383                  5.50            5.00
Pavarde384     Vardas384                  3.70            3.40
Pavarde385     Vardas385                  7.50            7.60
Pavarde386     Vardas386                  7.60            7.60
Pavarde387     Vardas387                  5.60            5.40
Pavarde388     Vardas388                  7.80            7.80
Pavarde389     Vardas389                  5.00            4.80
Pavarde390     Vardas390                  5.50            5.80
Pavarde391     Vardas391                  5.70            5.80
Pavarde392     Vardas392                  4.60            4.80
Pavarde393     Vardas393                  5.80            5.60
Pavarde394     Vardas394                  7.10            7.80
Pavarde395     Vardas395                  5.00            5.00
Pavarde396     Vardas396                  7.00            7.00
Pavarde397     Vardas397                  7.50            7.20
Pavarde398     Vardas398                  7.20            7.20
Pavarde399     Vardas399                  5.60            5.60
Pavarde400     Vardas400                  3.00            3.40
Pavarde401     Vardas401                  4.20            4.00
Pavarde402     Vardas402                  6.30            6.20
Pavarde403     Vardas403                  5.10            5.20
Pavarde404     Vardas404                  6.20            5.80
Pavarde405     Vardas405                  7.10            7.20
Pavarde406     Vardas406                  8.60            9.00
Pavarde407     Vardas407                  6.10            6.60
Pavarde408     Vardas408                  3.60            3.60
Pavarde409     Vardas409                  7.00            7.00
Pavarde410     Vardas410                  7.60            7.80
Pavarde411     Vardas411                  6.40            6.60
Pavarde412     Vardas412                  4.10            3.80
Pavarde413     Vardas413                  4.30            4.20
Pavarde414     Vardas414                  7.00            6.60
Pavarde415     Vardas415                  6.50            6.40
Pavarde416     Vardas416                  4.10            4.60
Pavarde417     Vardas417                  6.10            6.60
Pavarde418     Vardas418                  2.60            2.60
Pavarde419     Vardas419                  7.10            7.60
Pavarde420     Vardas420                  2.20            2.20
Pavarde421     Vardas421                  5.20            5.20
Pavarde422     Vardas422                  5.50            6.20
Pavarde423     Vardas423                  7.20            6.80
Pavarde424     Vardas424                  5.30            5.20
Pavarde425     Vardas425                  5.90            6.20
Pavarde426     Vardas426                  2.90            2.80
Pavarde427     Vardas427                  4.30            4.20
Pavarde428     Vardas428                  7.60            7.60
Pavarde429     Vardas429                  8.00            8.40
Pavarde430     Vardas430                  5.30            5.20
Pavarde431     Vardas431                  1.90            1.80
Pavarde432     Vardas432                  4.80            5.00
Pavarde433     Vardas433                  4.70            4.80
Pavarde434     Vardas434                  6.50            6.60
Pavarde435     Vardas435                  5.30            5.20
Pavarde436     Vardas436                  3.50            3.20
Pavarde437     Vardas437                  2.90            3.00
Pavarde438     Vardas438                  5.90            5.80
Pavarde439     Vardas439                  7.00            7.00
Pavarde440     Vardas440                  7.80            8.20
Pavarde441     Vardas441                  8.50            8.60
Pavarde442     Vardas442                  3.60            3.80
Pavarde443     Vardas443                  4.90            5.60
Pavarde444     Vardas444                  2.90            2.60
Pavarde445     Vardas445                  5.40            5.20
Pavarde446     Vardas446                  4.00            4.00
Pavarde447     Vardas447                  6.20            6.20
Pavarde448     Vardas448                  6.60            6.80
Pavarde449     Vardas449                  5.10            5.40
Pavarde450     Vardas450                  6.10            6.20
Pavarde451     Vardas451                  4.70            4.40
Pavarde452     Vardas452                  3.70            3.40
Pavarde453     Vardas453                  3.20            3.60
Pavarde454     Vardas454                  3.80            3.40
Pavarde455     Vardas455                  3.60            3.20
Pavarde456     Vardas456                  7.70            7.40
Pavarde457     Vardas457                  3.80            3.60
Pavarde458     Vardas458                  5.70            5.40
Pavarde459     Vardas459                  2.80            2.60
Pavarde460     Vardas460                  8.00            8.00
Pavarde461     Vardas461                  5.80            6.00
Pavarde462     Vardas462                  6.00            6.40
Pavarde463     Vardas463                  7.40            7.60
Pavarde464     Vardas464                  3.60            3.80
Pavarde465     Vardas465                  5.80            5.60
Pavarde466     Vardas466                  4.30            4.40
Pavarde467     Vardas467                  3.40            3.60
Pavarde468     Vardas468                  7.20            7.60
Pavarde469     Vardas469                  3.40            3.40
Pavarde470     Vardas470                  3.80            3.80
Pavarde471     Vardas471                  6.80            7.00
Pavarde472     Vardas472                  2.20            2.00
Pavarde473     Vardas473                  8.20            8.40
Pavarde474     Vardas474                  3.90            4.00
Pavarde475     Vardas475                  5.20            5.00
Pavarde476     Vardas476                  3.20            3.00
Pavarde477     Vardas477                  4.90            4.80
Pavarde478     Vardas478                  5.50            5.80
Pavarde479     Vardas479                  3.80            4.00
Pavarde480     Vardas480                  9.00            9.60
Pavarde481     Vardas481                  7.50            7.20
Pavarde482     Vardas482                  6.60            6.60
Pavarde483     Vardas483                  8.20            8.40
Pavarde484     Vardas484                  7.40            7.60
Pavarde485     Vardas485                  6.50            6.60
Pavarde486     Vardas486                  7.30            7.40
Pavarde487     Vardas487                  4.30            4.60
Pavarde488     Vardas488                  5.00            5.00
Pavarde489     Vardas489                  4.70            4.80
Pavarde490     Vardas490                  6.50            6.00
Pavarde491     Vardas491                  2.40            1.80
Pavarde492     Vardas492                  3.10            3.20
Pavarde493     Vardas493                  5.90            6.20
Pavarde494     Vardas494                  3.90            3.60
Pavarde495     Vardas495                  4.80            5.00
Pavarde496     Vardas496                  6.00            6.20
Pavarde497     Vardas497                  4.00            3.60
Pavarde498     Vardas498                  1.50            1.40
Pavarde499     Vardas499                  6.40            6.40
Pavarde500     Vardas500                  2.70            2.40
Pavarde501     Vardas501                  7.90            7.80
Pavarde502     Vardas502                  6.60            6.20
Pavarde503     Vardas503                  5.90            6.00
Pavarde504     Vardas504                  4.20            4.20
Pavarde505     Vardas505                  5.70            5.20
Pavarde506     Vardas506                  7.90            8.00
Pavarde507     Vardas507                  2.50            2.20
Pavarde508     Vardas508                  7.80            8.20
Pavarde509     Vardas509                  8.00            8.00
Pavarde510     Vardas510                  7.60            7.60
Pavarde511     Vardas511                  5.90            5.80
Pavarde512     Vardas512                  8.20            8.40
Pavarde513     Vardas513                  8.40            8.40
Pavarde514     Vardas514                  2.40            2.60
Pavarde515     Vardas515                  3.80            3.80
Pavarde516     Vardas516                  3.20            3.60
Pavarde517     Vardas517                  7.20            7.40
Pavarde518     Vardas518                  3.50            3.20
Pavarde519     Vardas519                  8.40            8.20
Pavarde520     Vardas520                  7.40            7.40
Pavarde521     Vardas521                  4.50            4.20
Pavarde522     Vardas522                  5.40            5.60
Pavarde523     Vardas523                  3.80            3.20
Pavarde524     Vardas524                  4.80            4.80
Pavarde525     Vardas525                  2.50            2.40
Pavarde526     Vardas526                  4.00            4.00
Pavarde527     Vardas527                  7.80            7.40
Pavarde528     Vardas528                  6.80            7.20
Pavarde529     Vardas529                  4.90            5.20
Pavarde530     Vardas530                  7.30            7.00
Pavarde531     Vardas531                  4.50            4.60
Pavarde532     Vardas532                  7.10            7.20
Pavarde533     Vardas533                  3.20            3.20
Pavarde534     Vardas534                  8.90            9.00
Pavarde535     Vardas535                  5.00            4.60
Pavarde536     Vardas536                  7.60            7.60
Pavarde537     Vardas537                  7.60            7.80
Pavarde538     Vardas538                  5.60            5.00
Pavarde539     Vardas539                  5.90            5.60
Pavarde540     Vardas540                  3.30            3.40
Pavarde541     Vardas541                  3.70            3.80
Pavarde542     Vardas542                  4.30            4.40
Pavarde543     Vardas543                  5.40            5.80
Pavarde544     Vardas544                  8.80            9.40
Pavarde545     Vardas545                  2.60            2.20
Pavarde546     Vardas546                  7.50            7.40
Pavarde547     Vardas547                  8.00            8.20
Pavarde548     Vardas548                  5.60            5.20
Pavarde549     Vardas549                  2.80            3.20
Pavarde550     Vardas550                  6.70            6.80
Pavarde551     Vardas551                  7.30            7.20
Pavarde552     Vardas552                  5.40            5.60
Pavarde553     Vardas553                  7.50            7.60
Pavarde554     Vardas554                  2.90            2.60
Pavarde555     Vardas555                  4.80            4.60
Pavarde556     Vardas556                  2.70            2.60
Pavarde557     Vardas557                  6.60            6.20
Pavarde558     Vardas558                  7.70            7.60
Pavarde559     Vardas559                  5.40            5.40
Pavarde560     Vardas560                  4.20            4.20
Pavarde561     Vardas561                  4.00            3.40
Pavarde562     Vardas562                  4.40            4.00
Pavarde563     Vardas563                  3.10            2.60
Pavarde564     Vardas564                  6.20            6.20
Pavarde565     Vardas565                  8.30            8.20
Pavarde566     Vardas566                  5.70            6.40
Pavarde567     Vardas567                  8.10            8.00
Pavarde568     Vardas568                  3.50            3.40
Pavarde569     Vardas569                  5.30            5.60
Pavarde570     Vardas570                  8.70            8.60
Pavarde571     Vardas571                  7.30            7.20
Pavarde572     Vardas572                  7.90            8.20
Pavarde573     Vardas573                  6.70            7.00
Pavarde574     Vardas574                  3.90            3.80
Pavarde575     Vardas575                  5.80            5.60
Pavarde576     Vardas576                  8.60            8.60
Pavarde577     Vardas577                  2.70            3.20
Pavarde578     Vardas578                  8.00            7.80
Pavarde579     Vardas579                  5.70            6.00
Pavarde580     Vardas580                  6.10            6.40
Pavarde581     Vardas581                  3.90            4.00
Pavarde582     Vardas582                  4.50            4.60
Pavarde583     Vardas583                  6.80            6.80
Pavarde584     Vardas584                  6.10            6.20
Pavarde585     Vardas585                  4.10            3.80
Pavarde586     Vardas586                  5.80            5.80
Pavarde587     Vardas587                  6.50            6.20
Pavarde588     Vardas588                  7.30            7.20
Pavarde589     Vardas589                  4.50            5.20
Pavarde590     Vardas590                  3.10            3.20
Pavarde591     Vardas591                  6.50            6.40
Pavarde592     Vardas592                  3.10            2.80
Pavarde593     Vardas593                  5.30            5.40
Pavarde594     Vardas594                  3.90            4.20
Pavarde595     Vardas595                  5.40            5.20
Pavarde596     Vardas596                  3.90            4.20
Pavarde597     Vardas597                  6.50            7.00
Pavarde598     Vardas598                  5.30            5.20
Pavarde599     Vardas599                  7.50            7.60
Pavarde600     Vardas600                  7.60            7.80
Pavarde601     Vardas601                  6.90            7.00
Pavarde602     Vardas602                  8.30            8.60
Pavarde603     Vardas603                  6.70            7.00
Pavarde604     Vardas604                  8.30            8.00
Pavarde605     Vardas605                  5.50            6.20
Pavarde606     Vardas606                  2.80            3.00
Pavarde607     Vardas607                  7.20            7.80
Pavarde608     Vardas608                  5.10            5.20
Pavarde609     Vardas609                  4.60            4.80
Pavarde610     Vardas610                  8.10            8.00
Pavarde611     Vardas611                  2.30            2.00
Pavarde612     Vardas612                  5.60            5.40
Pavarde613     Vardas613                  2.40            2.20
Pavarde614     Vardas614                  4.90            5.20
Pavarde615     Vardas615                  8.60            9.00
Pavarde616     Vardas616                  7.60            7.80
Pavarde617     Vardas617                  5.60            5.60
Pavarde618     Vardas618                  3.30            3.60
Pavarde619     Vardas619                  8.00            7.80
Pavarde620     Vardas620                  2.90            2.80
Pavarde621     Vardas621                  3.10            3.20
Pavarde622     Vardas622                  8.50            8.80
Pavarde623     Vardas623                  7.80            7.60
Pavarde624     Vardas624                  5.50            5.40
Pavarde625     Vardas625                  2.90            2.60
Pavarde626     Vardas626                  7.60            7.60
Pavarde627     Vardas627                  5.20            5.60
Pavarde628     Vardas628                  8.30            8.20
Pavarde629     Vardas629                  7.30            7.20
Pavarde630     Vardas630                  7.00            6.40
Pavarde631     Vardas631                  2.30            2.20
Pavarde632     Vardas632                  6.40            6.40
Pavarde633     Vardas633                  5.50            5.20
