Pavarde     Vardas      Galutinis(Vid)
Vardas367   4.32                  4.32
Vardas37    4.92                  4.92
Vardas370   2.92                  2.92
Vardas371   4.64                  4.64
Vardas372   4.96                  4.96
Vardas374   3.76                  3.76
Vardas378   4.08                  4.08
Vardas379   3.28                  3.28
Vardas38    3.60                  3.60
Vardas381   2.72                  2.72
Vardas385   3.96                  3.96
Vardas389   4.48                  4.48
Vardas39    3.56                  3.56
Vardas392   4.16                  4.16
Vardas395   3.80                  3.80
Vardas396   4.36                  4.36
Vardas4     3.88                  3.88
Vardas400   2.20                  2.20
Vardas406   4.84                  4.84
Vardas408   3.44                  3.44
Vardas409   3.04                  3.04
Vardas41    2.96                  2.96
Vardas410   3.16                  3.16
Vardas412   2.12                  2.12
Vardas413   4.44                  4.44
Vardas414   3.24                  3.24
Vardas419   3.36                  3.36
Vardas420   4.00                  4.00
Vardas421   2.68                  2.68
Vardas423   4.68                  4.68
Vardas425   3.44                  3.44
Vardas426   4.68                  4.68
Vardas427   2.92                  2.92
Vardas428   4.12                  4.12
Vardas431   3.60                  3.60
Vardas437   4.52                  4.52
Vardas438   3.80                  3.80
Vardas44    3.72                  3.72
Vardas440   4.88                  4.88
Vardas442   2.68                  2.68
Vardas446   3.76                  3.76
Vardas448   4.20                  4.20
Vardas45    3.28                  3.28
Vardas450   4.68                  4.68
Vardas451   3.40                  3.40
Vardas452   3.48                  3.48
Vardas453   3.88                  3.88
Vardas455   4.12                  4.12
Vardas46    3.16                  3.16
Vardas461   4.60                  4.60
Vardas463   3.12                  3.12
Vardas464   3.24                  3.24
Vardas466   3.04                  3.04
Vardas469   3.52                  3.52
Vardas470   3.72                  3.72
Vardas471   2.52                  2.52
Vardas472   2.68                  2.68
Vardas473   4.64                  4.64
Vardas476   2.76                  2.76
Vardas477   4.48                  4.48
Vardas478   4.72                  4.72
Vardas479   4.32                  4.32
Vardas482   2.28                  2.28
Vardas485   2.96                  2.96
Vardas487   4.64                  4.64
Vardas488   3.56                  3.56
Vardas49    3.40                  3.40
Vardas491   4.12                  4.12
Vardas494   3.92                  3.92
Vardas5     3.40                  3.40
Vardas500   3.72                  3.72
Vardas501   4.48                  4.48
Vardas502   3.12                  3.12
Vardas507   4.00                  4.00
Vardas51    2.44                  2.44
Vardas511   4.56                  4.56
Vardas512   2.88                  2.88
Vardas513   3.04                  3.04
Vardas519   4.00                  4.00
Vardas52    4.96                  4.96
Vardas522   2.28                  2.28
Vardas527   3.44                  3.44
Vardas528   2.44                  2.44
Vardas529   3.00                  3.00
Vardas536   4.76                  4.76
Vardas537   3.12                  3.12
Vardas538   3.00                  3.00
Vardas539   3.76                  3.76
Vardas541   3.04                  3.04
Vardas544   4.24                  4.24
Vardas545   3.88                  3.88
Vardas546   4.36                  4.36
Vardas547   3.60                  3.60
Vardas548   3.68                  3.68
Vardas549   4.24                  4.24
Vardas55    4.12                  4.12
Vardas550   3.48                  3.48
Vardas551   4.28                  4.28
Vardas552   4.24                  4.24
Vardas553   3.28                  3.28
Vardas554   3.36                  3.36
Vardas556   3.12                  3.12
Vardas557   1.96                  1.96
Vardas559   4.16                  4.16
Vardas566   2.12                  2.12
Vardas567   2.92                  2.92
Vardas57    4.56                  4.56
Vardas572   4.40                  4.40
Vardas573   4.52                  4.52
Vardas574   4.12                  4.12
Vardas579   3.92                  3.92
Vardas580   3.20                  3.20
Vardas582   4.88                  4.88
Vardas585   4.84                  4.84
Vardas587   2.80                  2.80
Vardas59    4.36                  4.36
Vardas590   4.44                  4.44
Vardas595   3.84                  3.84
Vardas596   2.88                  2.88
Vardas597   2.12                  2.12
Vardas6     4.40                  4.40
Vardas60    4.36                  4.36
Vardas600   3.44                  3.44
Vardas601   4.56                  4.56
Vardas602   4.28                  4.28
Vardas603   4.92                  4.92
Vardas606   2.72                  2.72
Vardas607   4.28                  4.28
Vardas608   4.40                  4.40
Vardas61    2.44                  2.44
Vardas610   2.04                  2.04
Vardas611   4.04                  4.04
Vardas613   3.84                  3.84
Vardas617   2.96                  2.96
Vardas621   3.44                  3.44
Vardas623   3.32                  3.32
Vardas626   4.48                  4.48
Vardas627   3.44                  3.44
Vardas629   4.88                  4.88
Vardas630   2.12                  2.12
Vardas631   1.80                  1.80
Vardas633   4.12                  4.12
Vardas634   4.44                  4.44
Vardas635   3.72                  3.72
Vardas638   3.00                  3.00
Vardas639   4.76                  4.76
Vardas64    4.04                  4.04
Vardas640   3.28                  3.28
Vardas642   4.20                  4.20
Vardas647   3.88                  3.88
Vardas649   4.20                  4.20
Vardas65    3.20                  3.20
Vardas651   4.64                  4.64
Vardas653   4.52                  4.52
Vardas654   2.72                  2.72
Vardas66    4.28                  4.28
Vardas660   2.52                  2.52
Vardas663   4.12                  4.12
Vardas667   3.76                  3.76
Vardas671   4.32                  4.32
Vardas672   4.56                  4.56
Vardas673   4.32                  4.32
Vardas674   3.72                  3.72
Vardas676   3.92                  3.92
Vardas677   4.08                  4.08
Vardas678   3.60                  3.60
Vardas68    4.48                  4.48
Vardas682   3.32                  3.32
Vardas683   3.20                  3.20
Vardas686   4.24                  4.24
Vardas687   3.56                  3.56
Vardas689   2.20                  2.20
Vardas69    4.56                  4.56
Vardas692   2.76                  2.76
Vardas696   4.88                  4.88
Vardas697   2.20                  2.20
Vardas7     4.76                  4.76
Vardas70    4.32                  4.32
Vardas702   3.84                  3.84
Vardas703   4.68                  4.68
Vardas709   3.44                  3.44
Vardas71    3.32                  3.32
Vardas712   3.84                  3.84
Vardas714   4.36                  4.36
Vardas717   3.88                  3.88
Vardas718   4.92                  4.92
Vardas719   4.92                  4.92
Vardas720   3.84                  3.84
Vardas722   3.20                  3.20
Vardas725   4.32                  4.32
Vardas726   3.84                  3.84
Vardas728   3.24                  3.24
Vardas73    3.36                  3.36
Vardas731   3.24                  3.24
Vardas733   3.44                  3.44
Vardas734   4.64                  4.64
Vardas735   3.00                  3.00
Vardas736   2.76                  2.76
Vardas738   4.12                  4.12
Vardas741   4.92                  4.92
Vardas742   2.20                  2.20
Vardas743   4.24                  4.24
Vardas744   4.64                  4.64
Vardas749   4.60                  4.60
Vardas75    4.20                  4.20
Vardas755   4.16                  4.16
Vardas756   3.28                  3.28
Vardas758   2.28                  2.28
Vardas761   3.48                  3.48
Vardas763   3.20                  3.20
Vardas764   4.80                  4.80
Vardas767   3.56                  3.56
Vardas768   3.80                  3.80
Vardas770   3.36                  3.36
Vardas780   3.04                  3.04
Vardas782   4.00                  4.00
Vardas784   3.16                  3.16
Vardas787   2.72                  2.72
Vardas79    2.92                  2.92
Vardas791   3.32                  3.32
Vardas797   4.40                  4.40
Vardas798   2.52                  2.52
Vardas799   3.92                  3.92
Vardas802   2.68                  2.68
Vardas803   4.12                  4.12
Vardas804   3.84                  3.84
Vardas81    3.44                  3.44
Vardas810   2.64                  2.64
Vardas815   4.16                  4.16
Vardas818   4.08                  4.08
Vardas819   2.28                  2.28
Vardas820   2.76                  2.76
Vardas821   2.12                  2.12
Vardas822   4.44                  4.44
Vardas823   4.20                  4.20
Vardas825   3.48                  3.48
Vardas828   3.60                  3.60
Vardas829   2.28                  2.28
Vardas830   3.80                  3.80
Vardas834   4.20                  4.20
Vardas835   3.16                  3.16
Vardas837   4.08                  4.08
Vardas838   2.36                  2.36
Vardas839   4.32                  4.32
Vardas841   4.36                  4.36
Vardas842   2.84                  2.84
Vardas844   2.68                  2.68
Vardas845   3.52                  3.52
Vardas848   3.28                  3.28
Vardas849   3.88                  3.88
Vardas850   2.76                  2.76
Vardas853   3.16                  3.16
Vardas854   2.84                  2.84
Vardas857   3.08                  3.08
Vardas858   4.08                  4.08
Vardas859   4.04                  4.04
Vardas860   3.32                  3.32
Vardas861   4.88                  4.88
Vardas862   4.16                  4.16
Vardas866   4.80                  4.80
Vardas87    3.92                  3.92
Vardas870   3.24                  3.24
Vardas875   3.48                  3.48
Vardas876   3.84                  3.84
Vardas877   4.56                  4.56
Vardas879   3.12                  3.12
Vardas88    3.72                  3.72
Vardas880   3.52                  3.52
Vardas885   2.84                  2.84
Vardas890   2.88                  2.88
Vardas891   4.04                  4.04
Vardas893   4.72                  4.72
Vardas894   2.84                  2.84
Vardas895   4.92                  4.92
Vardas896   4.96                  4.96
Vardas897   4.96                  4.96
Vardas90    2.60                  2.60
Vardas905   3.08                  3.08
Vardas906   3.72                  3.72
Vardas908   2.96                  2.96
Vardas909   4.96                  4.96
Vardas91    3.20                  3.20
Vardas911   2.60                  2.60
Vardas916   4.00                  4.00
Vardas917   3.32                  3.32
Vardas919   4.88                  4.88
Vardas922   4.68                  4.68
Vardas923   3.32                  3.32
Vardas924   4.88                  4.88
Vardas928   3.48                  3.48
Vardas929   4.28                  4.28
Vardas932   4.88                  4.88
Vardas935   3.12                  3.12
Vardas936   4.68                  4.68
Vardas938   3.64                  3.64
Vardas939   3.84                  3.84
Vardas940   4.40                  4.40
Vardas945   3.52                  3.52
Vardas949   2.44                  2.44
Vardas95    3.64                  3.64
Vardas951   4.92                  4.92
Vardas952   3.12                  3.12
Vardas956   2.84                  2.84
Vardas959   4.28                  4.28
Vardas964   3.56                  3.56
Vardas966   2.44                  2.44
Vardas967   3.56                  3.56
Vardas97    2.68                  2.68
Vardas970   3.72                  3.72
Vardas973   3.20                  3.20
Vardas975   4.64                  4.64
Vardas977   4.60                  4.60
Vardas978   3.76                  3.76
Vardas982   3.20                  3.20
Vardas985   4.32                  4.32
Vardas988   2.40                  2.40
Vardas99    4.60                  4.60
Vardas991   3.16                  3.16
Vardas994   4.32                  4.32
Vardas995   2.44                  2.44
Vardas997   3.36                  3.36
Vardas998   3.92                  3.92
